id,title,season,episode,air_date,subject,colors,img_src,youtube_src,notes
313,Hide A Way Cove,25,1,1992-08-25,"Bushes, Conifer, Lake, Mountain, Snowy_Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting321.png,https://www.youtube.com/embed/l_HqMYquc08,
314,Enchanted Falls Oval,25,2,1992-09-01,"Deciduous, River, Tree, Trees, Waterfall","Alizarin Crimson, Black Gesso, Indian Yellow, Sap Green, Titanium White, Yellow Ochre",https://www.twoinchbrush.com/images/painting322.png,https://www.youtube.com/embed/HklPkQ0lSKA,
315,Not Quite Spring,25,3,1992-09-08,"Conifer, Lake, Mountain, Snow, Snowy_Mountain, Tree, Trees, Winter","Alizarin Crimson, Black Gesso, Cadmium Yellow, Dark Sienna, Midnight Black, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting323.png,https://www.youtube.com/embed/N_u6x7LeyTM,
316,Splashes of Autumn,25,4,1992-09-15,"Deciduous, Lake, River, Tree, Trees, Waterfall","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting324.png,https://www.youtube.com/embed/YcbaMqq_X8s,
317,Summer in the Mountain,25,5,1992-09-22,"Bushes, Clouds, Conifer, Guest, Lake, Mountain, Mountains, Snowy_Mountain, Steve_Ross, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting325.png,https://www.youtube.com/embed/gmCXgS38NDc,
318,Oriental Falls,25,6,1992-09-29,"Bushes, Conifer, Fog, Rocks, Tree, Trees, Waterfall","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting326.png,https://www.youtube.com/embed/v8Znj8bbmCQ,
319,Autumn Palette,25,7,1992-10-06,"Deciduous, Fence, Lake, Tree, Trees","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting327.png,https://www.youtube.com/embed/HWrvW-NgaOY,
320,Cypress Swamp,25,8,1992-10-13,"Deciduous, Lake, Tree","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting328.png,https://www.youtube.com/embed/FdIUHudQABI,
321,Downstream View,25,9,1992-10-20,"Clouds, Conifer, Cumulus, Deciduous, Grass, River, Rocks, Tree, Trees","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting329.png,https://www.youtube.com/embed/KsDPg5HZYNw,
322,Just Before the Storm,25,10,1992-10-27,"Clouds, Ocean, Palm_Trees, Waves","Alizarin Crimson, Cadmium Yellow, Dark Sienna, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting330.png,https://www.youtube.com/embed/Rh-jKrMrmOA,
323,Fisherman's Paradise,25,11,1992-11-03,"Cabin, Conifer, Lake, Structure, Sun, Tree, Trees","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting331.png,https://www.youtube.com/embed/uJLK85uU5mA,
324,Desert Hues,25,12,1992-11-10,"Cactus, Cirrus, Clouds, Mountain, Path","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting332.png,https://www.youtube.com/embed/UUNNXGVNTuI,
325,The Property Line,25,13,1992-11-17,"Bushes, Deciduous, Fence, Snow, Tree, Winter","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting333.png,https://www.youtube.com/embed/ivesI3rU7dU,
326,In the Stillness of Morning,26,1,1992-12-01,"Bushes, Conifer, Fog, Grass, River, Tree, Trees","Alizarin Crimson, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting334.png,https://www.youtube.com/embed/5rfGa1_iJpw,
327,Delightful Meadow Home,26,2,1992-12-08,"Cabin, Deciduous, Fence, Grass, Path, Structure, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Yellow Ochre",https://www.twoinchbrush.com/images/painting335.png,https://www.youtube.com/embed/tWoInh2USOs,
328,First Snow,26,3,1992-12-15,"Clouds, Conifer, Grass, Mountain, Snow, Snowy_Mountain, Tree, Trees, Winter","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting336.png,https://www.youtube.com/embed/raAkJKeo0Sk,
329,Lake in the Valley,26,4,1992-12-22,"Bushes, Deciduous, Grass, Lake, Mountain, Path, Snowy_Mountain, Sun, Tree, Trees","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting337.png,https://www.youtube.com/embed/KvJmSrErm20,
330,A Trace of Spring,26,5,1992-12-29,"Bushes, Conifer, Deciduous, Flowers, Grass, River, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting338.png,https://www.youtube.com/embed/JMPwj3u4ZTA,
331,An Arctic Winter Day,26,6,1993-01-05,"Cabin, Clouds, Conifer, Lake, Mountain, Mountains, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter","Alizarin Crimson, Dark Sienna, Midnight Black, Prussian Blue, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting339.png,https://www.youtube.com/embed/9BHWlbjd95c,
332,Snow Birch,26,7,1993-01-12,"Deciduous, Lake, Snow, Tree, Trees, Winter","Black Gesso, Indian Yellow, Phthalo Blue, Prussian Blue, Titanium White",https://www.twoinchbrush.com/images/painting340.png,https://www.youtube.com/embed/wKeemvioVrM,
333,Early Autumn,26,8,1993-01-19,"Conifer, Deciduous, Grass, Lake, Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting341.png,https://www.youtube.com/embed/SLQXlFLoqQc,
334,Tranquil Wooded Stream,26,9,1993-01-26,"Deciduous, River, Rocks, Tree, Trees","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting342.png,https://www.youtube.com/embed/lSeRrm5ZK9c,
335,Purple Mountain Range,26,10,1993-02-02,,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting343.png,https://www.youtube.com/embed/nkDA_R-XmqA,
336,Storm's A Comin,26,11,1993-02-09,"Beach, Clouds, Cumulus, Hills, Ocean, Rocks, Waves","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Phthalo Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting344.png,https://www.youtube.com/embed/EHD9u-lo2wc,
337,Sunset Aglow,26,12,1993-02-16,"Clouds, Conifer, Lake, Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting345.png,https://www.youtube.com/embed/gMEZp47VKC0,
338,Evening at the Falls,26,13,1993-02-23,"Conifer, Night, River, Tree, Trees, Waterfall","Black Gesso, Cadmium Yellow, Liquid Clear, Midnight Black, Prussian Blue, Sap Green, Titanium White",https://www.twoinchbrush.com/images/painting346.png,https://www.youtube.com/embed/RulXVcpgpqw,
339,Twilight Beauty,27,1,1993-03-02,"Conifer, Deciduous, Fog, Lake, Sun, Tree, Trees","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting347.png,https://www.youtube.com/embed/0mJqzzeWyXs,
340,Angler's Haven,27,2,1993-03-09,"Conifer, Lake, Mountain, Mountains, Rocks, Snowy_Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Black, Liquid Clear, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting348.png,https://www.youtube.com/embed/XlwfcXZ0AIU,
341,Rustic Winter Woods,27,3,1993-03-16,"Deciduous, Snow, Sun, Tree, Trees, Winter","Alizarin Crimson, Cadmium Yellow, Indian Yellow, Midnight Black, Sap Green, Titanium White",https://www.twoinchbrush.com/images/painting349.png,https://www.youtube.com/embed/3q8Zi9480lw,
342,Wilderness Falls,27,4,1993-03-23,"Bushes, Clouds, Conifer, Grass, Mountain, Mountains, River, Rocks, Tree, Trees, Waterfall","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Black, Liquid Clear, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting350.png,https://www.youtube.com/embed/gxd0MPX8c6I,
343,Winter at the Farm,27,5,1993-03-30,"Conifer, Farm, Fence, Snow, Structure, Tree, Trees, Winter","Alizarin Crimson, Dark Sienna, Liquid Clear, Midnight Black, Prussian Blue, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting351.png,https://www.youtube.com/embed/LeIVNKnWz7o,
344,Daisies at Dawn,27,6,1993-04-06,"Cabin, Conifer, Deciduous, Flowers, Lake, Structure, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Midnight Black, Sap Green, Titanium White, Yellow Ochre",https://www.twoinchbrush.com/images/painting352.png,https://www.youtube.com/embed/_kkZcIgocBM,
345,A Spectacular View,27,7,1993-04-13,"Cabin, Clouds, Conifer, Cumulus, Mountain, Mountains, Path, Structure, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting353.png,https://www.youtube.com/embed/7R9HcaDT9P4,
346,Daybreak,27,8,1993-04-20,"Cabin, Conifer, Deciduous, Fence, Fog, Snow, Structure, Tree, Trees, Winter","Alizarin Crimson, Cadmium Yellow, Dark Sienna, Midnight Black, Prussian Blue, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting354.png,https://www.youtube.com/embed/crWDcTvDmec,
347,Island Paradise,27,9,1993-04-27,"Beach, Clouds, Hills, Ocean, Palm_Trees, Rocks, Waves","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Phthalo Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting355.png,https://www.youtube.com/embed/Cg3XAVhAas0,
348,Sunlight in the Shadows,27,10,1993-05-04,"Bushes, Deciduous, Grass, Guest, River, Sun, Tree, Trees","Alizarin Crimson, Black Gesso, Liquid Clear, Midnight Black, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting356.png,https://www.youtube.com/embed/xgjQ0v2d9mE,
349,Splendor of a Snowy Winter,27,11,1993-05-11,"Cabin, Conifer, Deciduous, Mountain, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter","Alizarin Crimson, Dark Sienna, Liquid Black, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting357.png,https://www.youtube.com/embed/JdXCoxkOdwQ,
350,Forest River,27,12,1993-05-18,"Deciduous, Grass, River, Sun, Tree, Trees","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting358.png,https://www.youtube.com/embed/wrbGlR22K0Q,
351,Golden Glow of Morning,27,13,1993-05-20,"Conifer, Fog, Lake, Rocks, Sun, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Yellow Ochre",https://www.twoinchbrush.com/images/painting359.png,https://www.youtube.com/embed/qXElmiqzcI0,
352,Fisherman's Trail,28,1,1993-05-25,"Bushes, Conifer, Lake, Mountain, Mountains, Path, Snowy_Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting360.png,https://www.youtube.com/embed/VnZEpic2UzU,"- After painting the canvas to resemble wood, Ross paints a landscape with the titular trail, plus mountains, trees, water, and shrubbery, but no sky."
353,A Warm Winter,28,2,1993-06-01,"Barn, Conifer, Deciduous, Hills, Snow, Structure, Sun, Tree, Trees, Winter","Alizarin Crimson, Bright Red, Cadmium Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Yellow Ochre",https://www.twoinchbrush.com/images/painting361.png,https://www.youtube.com/embed/_TTdw3YnXuo,
354,Under Pastel Skies,28,3,1993-06-08,"Clouds, Conifer, Mountain, Snowy_Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting362.png,https://www.youtube.com/embed/lzODyJS2ZIg,
355,Golden Rays of Sunshine,28,4,1993-06-15,"Bushes, Deciduous, Sun, Tree, Trees","Alizarin Crimson, Black Gesso, Indian Yellow, Liquid Clear, Phthalo Blue, Prussian Blue, Sap Green, Titanium White",https://www.twoinchbrush.com/images/painting363.png,https://www.youtube.com/embed/zxj3xLDNxo0,
356,The Magic of Fall,28,5,1993-06-22,"Deciduous, Fence, Grass, Tree","Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Yellow Ochre",https://www.twoinchbrush.com/images/painting364.png,https://www.youtube.com/embed/bSm3fmEyJ20,
357,Glacier Lake,28,6,1993-06-29,"Conifer, Grass, Lake, Mountain, Rocks, Snowy_Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting365.png,https://www.youtube.com/embed/TohG7F8M3Ls,
358,The Old Weathered Barn,28,7,1993-07-06,"Barn, Deciduous, Grass, Path, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Yellow Ochre",https://www.twoinchbrush.com/images/painting366.png,https://www.youtube.com/embed/NYUIIBFj0iQ,
359,Deep Forest Falls,28,8,1993-07-13,"Bushes, Deciduous, River, Tree, Trees, Waterfall","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting367.png,https://www.youtube.com/embed/urHQRbRNuYI,
360,Winter's Grace,28,9,1993-07-20,"Conifer, Fog, Mountain, Mountains, Snow, Tree, Trees, Winter","Midnight Black, Phthalo Blue, Prussian Blue, Titanium White",https://www.twoinchbrush.com/images/painting368.png,https://www.youtube.com/embed/mxJ2On9wyvY,
361,Splendor of Autumn,28,10,1993-07-27,"Deciduous, Fog, Grass, Lake, Sun, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting369.png,https://www.youtube.com/embed/hEyR2FDp-00,
362,Tranquil Seas,28,11,1993-08-03,"Beach, Clouds, Cumulus, Ocean, Sun, Waves","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Yellow Ochre",https://www.twoinchbrush.com/images/painting370.png,https://www.youtube.com/embed/kN1DP_yqs-A,
363,Mountain Serenity,28,12,1993-08-10,"Bushes, Conifer, Grass, Lake, Mountain, Snowy_Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting371.png,https://www.youtube.com/embed/wc_YVijYjT4,
364,Home Before Nightfall,28,13,1993-08-17,"Cabin, Clouds, Deciduous, Grass, Night, Structure, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Yellow Ochre",https://www.twoinchbrush.com/images/painting372.png,https://www.youtube.com/embed/22SiIDvyJeM,
365,Island in the Wilderness,29,1,1993-08-24,"Bushes, Conifer, Lake, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting373.png,https://www.youtube.com/embed/lLWEXRAnQd0,
366,Autumn Oval,29,2,1993-08-31,"Bushes, Conifer, Lake, Mountains, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting374.png,https://www.youtube.com/embed/2XnIdinwot0,
367,Seasonal Progression,29,3,1993-09-07,"Bushes, Conifer, Grass, Lake, Mountain, Mountains, Snow, Snowy_Mountain, Tree, Trees, Winter","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting375.png,https://www.youtube.com/embed/T2G5waMfQ-g,
368,Light at the Summit,29,4,1993-09-14,"Deciduous, Grass, Mountain, Mountains, Path, Sun, Tree, Trees","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting376.png,https://www.youtube.com/embed/HOdS-G8p1KE,
369,Countryside Barn,29,5,1993-09-21,"Barn, Deciduous, Grass, Path, Structure, Tree","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting377.png,https://www.youtube.com/embed/G7Etn7QMeO4,
370,Mountain Lake Falls,29,6,1993-09-28,"Clouds, Conifer, Cumulus, Lake, Mountain, Mountains, River, Snowy_Mountain, Tree, Trees, Waterfall","Alizarin Crimson, Cadmium Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting378.png,https://www.youtube.com/embed/dNEp3hoHSDI,Special guest Steve Ross (Bob's son)
371,Cypress Creek,29,7,1993-10-05,"Deciduous, Grass, River, Tree, Trees","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting379.png,https://www.youtube.com/embed/Tnb2cXKKuWM,
372,Trapper's Cabin,29,8,1993-10-12,"Bushes, Cabin, Conifer, Deciduous, Lake, Mountain, Mountains, Structure, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting380.png,https://www.youtube.com/embed/chhCkmp0RG8,
373,Storm on the Horizon,29,9,1993-10-19,"Beach, Clouds, Grass, Ocean, Palm_Trees, Rocks, Waves","Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",https://www.twoinchbrush.com/images/painting381.png,https://www.youtube.com/embed/pA_2paUhBAQ,
374,Pot O' Posies,29,10,1993-10-26,"Flowers, Guest","Alizarin Crimson, Black Gesso, Bright Red, Midnight Black, Prussian Blue, Sap Green",https://www.twoinchbrush.com/images/painting382.png,https://www.youtube.com/embed/2zv_S_uVoVQ,
375,A Perfect Winter Day,29,11,1993-11-02,"Bushes, Cabin, Clouds, Conifer, Mountain, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter","Alizarin Crimson, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting383.png,https://www.youtube.com/embed/Io4fwhacpEs,
376,Aurora's Dance,29,12,1993-11-09,"Aurora_Borealis, Cabin, Conifer, Lake, Night, Snow, Tree, Trees, Winter","Alizarin Crimson, Dark Sienna, Liquid Clear, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting384.png,https://www.youtube.com/embed/iRMsb9Vf7GM,
